Feature,Importance
count,0.5725825
dst_bytes,0.17834082
same_srv_rate,0.06612913
srv_count,0.038701393
dst_host_srv_diff_host_rate,0.026245872
dst_host_srv_serror_rate,0.024619317
dst_host_count,0.01894071
protocol_type,0.017591558
logged_in,0.0152856205
num_compromised,0.0061769607
dst_host_serror_rate,0.0055152634
srv_diff_host_rate,0.004356062
diff_srv_rate,0.0042400653
dst_host_diff_srv_rate,0.0031902269
service,0.0029958338
src_bytes,0.002481477
wrong_fragment,0.002347992
flag,0.0022121258
dst_host_same_srv_rate,0.0014919898
dst_host_srv_rerror_rate,0.00091685593
hot,0.0009167637
dst_host_same_src_port_rate,0.00088429335
dst_host_rerror_rate,0.0006920879
dst_host_srv_count,0.0006551495
duration,0.000594521
rerror_rate,0.0005171038
serror_rate,0.00038154607
num_file_creations,0.0002445622
srv_rerror_rate,0.00021056678
srv_serror_rate,0.00019685787
is_guest_login,0.00016319033
num_root,0.000117789226
num_shells,6.378685e-05
urgent,0.0
land,0.0
num_outbound_cmds,0.0
num_access_files,0.0
su_attempted,0.0
num_failed_logins,0.0
is_host_login,0.0
root_shell,0.0
